#"행정구역별(1)",행정구역별(2),2006 4/4,2007 4/4,2008 4/4,2009 4/4,2010 4/4,2011 4/4,2012 4/4,2013 4/4,2014 4/4,2015 4/4,2016 4/4,2017 4/4,2018 4/4,2019 4/4,2020 4/4
"서울",강남구,71.2,72.3,59.5,73.6,70.5,67,59.9,62.9,68.2,75.9,86.6,100,120.5,135.7,149.8
"서울",송파구,81.8,80.4,65,80.6,75.8,73.7,67.3,70.8,73.8,78.7,85.5,100,119.5,131.7,159.4
"서울",강동구,75.7,76,67,81.5,78.9,77.4,70.6,71.9,74.1,80.4,87.4,100,121.3,126.4,161.4
"부산",서구,49.8,51.1,52.5,56.3,65.2,73,78.3,79.1,82.6,91.1,93.5,100,93.8,92.1,93.8
"부산",동구,54.2,56.1,56.4,56.4,62.2,74.5,79.3,82,83.8,92.6,96.4,100,93.6,89.5,116.7
"부산",영도구,51.8,55.5,60.4,67.8,79.7,94.3,89.2,92.6,91.6,94.4,97.7,100,94.7,91.1,100.7
"부산",부산진구,46.9,47.8,49.7,54.8,64.9,77.3,76.1,79,82.1,88.6,95.8,100,95.9,93.5,108.7
"부산",동래구,46.7,47.4,48.9,52.9,60.1,72.6,70.5,72.6,76.4,86.1,96,100,93.9,94.8,117
"부산",남구,46.5,46.7,48.4,52.9,63.8,77.1,75.1,75.5,79.9,88.5,99,100,96,98.2,112.1
"부산",북구,46.6,48,49.5,54.4,65.6,79.3,76.5,80.4,82.2,86.9,98.8,100,95.6,90.7,102
"부산",해운대구,40.2,44.7,50.7,55.5,62.4,74,69.8,70.1,73,85.2,102.5,100,94.8,96.6,121.8
"부산",사하구,52.3,53.3,56.1,61.2,74.4,90.5,86.7,88.4,90,94.6,99.5,100,96.9,94.6,103.4
"부산",금정구,48.1,50.2,51.7,56.1,61.4,74.8,74.8,76.2,80.4,88.9,95.3,100,95.8,93.8,106.5
"부산",연제구,46.7,48,50.2,54.6,62.1,74.7,74.6,76.4,80.4,88.6,99.9,100,94.2,92.7,109.6
"부산",수영구,44,45.3,46.1,51.8,57.8,68.5,66.5,70.6,72.4,85.9,100.4,100,96.3,100.5,128.7
"부산",사상구,48.5,49.7,52.4,56.6,70.9,87.5,83,85,87.5,91.4,97.6,100,95.5,90.8,97.4
"부산",기장군,49.4,51,55.9,61.8,69.8,82.5,81.7,79.4,82.8,91.8,99.7,100,94.2,89.4,95.2
"대구",중구,56.3,55.9,53.2,54.9,54.8,60.7,63.5,70.7,80.3,94.3,92.1,100,114.9,119.7,135.7
"대구",동구,56.3,56.7,55.7,55.3,55.4,62.2,68.2,77.2,89.9,103.4,97.3,100,101.5,102.5,110
"대구",서구,59.5,58.6,54.5,56.3,58,64.7,71.2,80,89.4,101.2,96.9,100,104.3,111.6,138.9
"대구",남구,57.6,56.8,55.6,55,55.7,61.6,66.1,77,86.4,99.3,96.3,100,105.2,109.4,123.5
"대구",북구,57.2,56.9,54.4,55.2,55.9,67.3,72.2,85.1,91.5,107.4,98.6,100,103.4,102.9,109.6
"대구",수성구,54.6,53.6,52,53,52.8,59.7,61,68.2,82.9,98.6,93.1,100,107.2,108.5,128.6
"대구",달서구,63.3,58.5,55.1,57.8,59.4,68.7,73.5,86,94.8,107.9,96.6,100,103.6,106.7,127.2
"대구",달성군,65.5,62.6,59.5,60.5,62.8,72.6,80.9,98,107.2,113,97.5,100,100.6,101,107.1
"인천",중구,95.3,102.9,97.6,104.4,94.8,89.9,79.6,79.6,88.3,97.4,103,100,92.7,92.7,105.3
"인천",동구,68.4,84.3,104.3,101.7,94.9,91.9,86.3,85.8,88.9,95.5,98.8,100,99.3,96.4,100.9
"인천",미추홀구,67.3,87.7,98.4,101.7,96.5,92.3,86.3,85.6,88.1,94.1,96.7,100,101.1,100.8,109.9
"인천",연수구,72.9,97.2,94.4,96.5,90.3,83.6,78.8,81.6,87.1,93.6,97.3,100,96.5,93.6,114.4
"인천",남동구,63.1,80.5,91.2,93.4,89.8,84.9,80.3,82.7,86.5,93,98.3,100,99.7,98.4,114
"인천",부평구,61.8,75.6,87.7,89.4,83.9,82.2,76.4,78.2,80.9,90.2,97.5,100,100.6,102.4,116.7
"인천",계양구,60.4,75.4,92.6,95.5,88.8,85.5,78.5,79.7,83.5,91.9,98.6,100,99.3,101.3,108.1
"인천",서구,76.1,91.7,102.6,103.3,94.2,89.5,81,82.7,86.6,97.2,101.6,100,98.5,98.4,113.4
"광주",동구,58.2,58.9,59.5,60.2,62.5,72.4,75.9,82,86.5,96.2,97.9,100,108.2,106.2,114.3
"광주",서구,51.7,52.5,52.7,53.3,57.7,67.3,71.1,75.5,81.5,92.9,94.4,100,113.8,115,120.7
"광주",남구,52.9,54.5,55.7,55.3,57.2,69.5,72.6,77.8,81.7,92.6,97.5,100,117.9,114.5,126
"광주",북구,53.8,54,55.6,56.2,59.4,73.9,76.5,81.8,88.4,100.2,99.7,100,106.4,108.3,112.1
"광주",광산구,51.5,51.9,53.1,52.2,56,69.9,72.3,76.8,84.7,98.2,98.1,100,109.5,114,122.5
"대전",동구,65.9,65.9,68.4,73.6,79.9,91.1,88.7,91.4,93.3,97,99,100,98.8,104.6,126.3
"대전",중구,67.7,66.8,69.3,74.7,81.6,94.6,90.8,93.2,94.9,96.1,98,100,102.4,117.2,141
"대전",서구,69.6,69.2,70,77.6,86.2,100.5,93.2,96.3,96.2,95.9,98.1,100,103.4,114.9,144.7
"대전",유성구,81,78.4,77.8,83.2,91.3,103.4,97.6,100.9,99.3,97.7,99.8,100,103.4,119,151.5
"대전",대덕구,63.1,62.3,64.9,69.9,77.8,93.5,90,93.2,95.1,97,99.1,100,96.7,100.6,123.4
"울산",중구,60.4,63.9,60.3,64.5,66.4,76.9,81.3,83.8,89.3,101.4,105.9,100,90.1,89.1,102.3
"울산",남구,61.8,63.6,60.6,66.2,68.5,81.1,83.1,85.3,88.1,100.8,102.7,100,90.8,91.8,115.2
